name,smiles,150_20,NssssN,SssssN,ETA_shape_y,RNCG,AATSC1are,GhoseFilter,AATSC1se,AATSC1pe,JGI4,AATSC1i,NssssC,SssssC,AETA_eta_B,piPC8,NddsN,SIC3,JGI3,NssNH,MATS1i,AATS4v,BIC3,ATSC6s,GATS4d,n10FHRing,VE2_Dt,VE2_Dzm,VE2_DzZ,VE2_A,VE2_Dzi,VE2_Dzare,VE2_Dzpe,VE2_Dzse,VE2_D,AXp-5d,MATS1are,BCUTs-1l,VE2_Dzv,AETA_eta_BR,VE2_Dzp,NsNH2,AETA_eta_FL,SlogP_VSA5,AATSC2v,ATSC3s,SsNH2,MATS1pe,nBase,piPC7,NdCH2,Xch-7dv,ATSC8Z,ATSC4s,NssO,BCUTc-1l,ATSC7m,fMF,AATSC3s,AETA_eta_RL,SssO,GATS2c,ATSC8m,MPC10,ATS8s,HybRatio,ATSC7Z,FCSP3,GATS2se,ATSC5are,AETA_eta_L,Xch-6dv,AXp-3d,MATS4pe,MPC8,C4SP3,MPC9,AETA_beta,n10FAHRing,GATS4pe,AATSC0d,SsssN,AETA_beta_ns_d,AETA_beta_ns,SIC0,SsBr,GGI6,RotRatio,GATS2are,BIC0,MWC08,MWC06,MWC10,NdsN,MWC07,MWC09,GATS2s,NdssS,MWC05,MWC04,VE3_A,MPC7,SRW08,SRW06,SRW10,NtCH,Xpc-6d,AETA_dBeta,GATS2pe,Xc-4dv,VE3_Dzp,MWC03,VR3_Dzi,ATS8m
"1,2,3,4-Tetrahydro-1-naphthol",OC1CCCC2=C1C=CC=C2,0.8832,0,0,0.28125,0.49671078,-0.007257404,0,-0.004210505,-0.006779435,0.04839506,0.17265055,0,0,0.003382133,4.550252,0,0.88466185,0.045833334,0,0.12834325,137.11852,0.841623,0.6171498,1.15,0,0.30130875,0.29856446,0.29856545,0.2869975,0.29845953,0.2986119,0.29857695,0.29856345,0.29882324,0.08377925,-0.09345586,1.2486513,0.2974961,0.019018497,0.29617456,0,0.2019947,30.072512,-4.8313065,-0.31070152,0,-0.087317474,0,4.596697,0,0.1174267,0,-2.7786705,0,-0.3220921,147.73393,0.4347826,-0.005178359,0.4888191,0,0.75001854,0,3,0,0.4,30.708885,0.4,0.79380226,-0.54442346,0.2868244,0.078808814,0.18729305,-0.09512419,17,0,15,1.1136364,0,1.1943568,0.50661623,0,0,0.54545456,0.2672297,0,0,0,0.82498133,0.25422898,9.140883,7.431892,10.850637,0,8.283241,9.992917,0.8016614,0,6.5750756,5.7268476,1.2449237,20,7.6172676,5.9989367,9.284056,0,3.3721545,-0.022727273,0.8508233,0,1.2763991,4.8751974,3.8406456,0
4-Methoxyphenol,COc1ccc(O)cc1,0.2751,0,0,0.24,0.4745304,-0.014878892,0,-0.011895115,-0.012041177,0.08555555,-0.057865687,0,0,0.009835007,0,0,0.87400657,0.027777778,0,-0.04355233,135.04596,0.8265916,3.7395232,0.7846154,0,0.33164003,0.32765234,0.3276571,0.31737643,0.32716852,0.32789257,0.32771412,0.3276473,0.32846847,0.09812667,-0.093315974,1.5251275,0.324256,0.019390563,0.32199326,0,0.30279046,0,3.4546378,-5.9565554,0,-0.081781864,0,2.7842393,0,0.02376283,24.923876,-9.824971,1,-0.52930415,-193.85686,0.3529412,-0.21273412,0.48063317,4.8580556,0.9565132,118.854416,0,3,0.14285715,-41.709343,0.14285715,1.1665534,1.7539792,0.17784272,0.027777778,0.22606489,-0.23196779,0,0,0,1.3611112,0,1.1616337,0.48442906,0,0.11111111,0.7777778,0.34301996,0,0,0.11111111,1.1215278,0.3244111,8.386401,6.8167357,9.957265,0,7.598399,9.169831,0.73739314,0,6.0282784,5.2522736,0.9441973,2,7.0553126,5.556828,8.590258,0,1.1710976,0.19444445,1.092068,0,0.9586394,4.465908,3.2808013,3.048192
2-amino-3-nitrophenol,C1=CC(=C(C(=C1)O)N)[N+](=O)[O-],0.7151,0,0,0.39583334,0.34127754,0.002736332,0,0.00632728,-0.002479585,0.05733333,0.65447545,0,0,0.026210537,3.1688974,1,0.9712176,0.07083333,0,0.42886642,152.2095,0.90380895,-23.56017,1.0519803,0,0.29996255,0.29750526,0.29750794,0.2800363,0.29749152,0.29769543,0.29757214,0.2974981,0.29760796,0.08870461,0.012027194,1.4165348,0.2945144,0.03402872,0.292166,1,0.30890962,0,-2.6913822,1.6705114,5.1918516,-0.012217619,0,4.3429933,0,0.036675308,0,-24.803537,0,-0.38674685,0,0.3529412,0.053887464,0.4659907,0,0.9259081,0,0,0,0,0,0,0.53311247,-0.43812594,0.15708107,0.024056261,0.20145237,-0.23830345,2,0,0,1.4318181,0,1.3002813,0.6989619,0,0.13636364,0.8181818,0.4563802,0,0,0.09090909,0.5054862,0.42470452,8.978786,7.2991214,10.65968,0,8.134761,9.816785,0.47640133,0,6.453625,5.6240177,1.2203695,8,7.5104303,5.916202,9.148784,0,3.7975345,0.20454545,0.48519722,0,1.2627723,4.7791233,3.791125,0
4-phenoxyaniline,C1=CC=C(C=C1)OC2=CC=C(C=C2)N,0.4564,0,0,0.22277227,0.3878337,-0.007273975,1,-0.004361967,-0.005710868,0.044848483,0.2197748,0,0,0.005062641,5.557552,0,0.8901354,0.02734375,0,0.1481079,160.86253,0.82673216,-3.5674667,1.0435992,0,0.2642211,0.26362216,0.26362097,0.25498158,0.26390404,0.26359826,0.2636268,0.26362076,0.2637352,0.091374494,-0.08284016,1.5241207,0.26422858,0.017348355,0.26484513,1,0.31744343,0,-8.812502,-4.382222,5.564502,-0.0668512,0,5.154014,0,0.040472306,-10.4256,-5.180267,1,-0.49475086,1.9084634,0.52,-0.08764444,0.48880976,5.577778,0.80733556,-51.295902,16,52.666668,0,1.152,0,0.9770584,0.6870978,0.17136633,0.059852794,0.20576546,-0.19916327,24,0,20,1.5178572,0,1.4645307,0.4704,0,0.071428575,0.9285714,0.30167264,0,0.16,0.13333334,0.88144773,0.28018486,9.073948,7.449498,10.701153,0,8.256088,9.883438,0.6783122,0,6.632002,5.8318825,1.6089656,24,7.629976,6.1114674,9.183072,0,2.2890036,0.3392857,0.8566797,0,1.6469195,5.0172796,4.418646,636.1456
BIOTIN,OC(=O)CCCCC1SCC2NC(=O)NC12,0.9162,0,0,0.32751092,0.24870132,-0.01724375,1,-0.012131679,-0.014487878,0.03785714,0.014489266,0,0,0.01559436,3.713572,0,0.925,0.063271604,2,0.009687933,132.89336,0.9016855,-15.805612,0.9104895,0,0.24772987,0.24641035,0.24641186,0.20099577,0.2468841,0.24697475,0.24693283,0.24689464,0.24612087,0.080243915,-0.10868195,0.62214977,0.24600285,0.02634436,0.24497846,0,0.11732429,25.683287,-8.387171,-16.387497,0,-0.098594725,0,3.912023,0,0.44760138,23.636719,-7.4092293,0,-0.3349798,478.8013,0.25,-0.18836203,0.479044,0,0.53252983,119.67767,25,143.25926,0.8,109.48828,0.8,0.3719281,-1.0717875,0.3617197,0.3550472,0.18233173,-0.0492025,31,0,27,0.828125,0,0.8309469,0.55859375,0,0,0.1875,0.35016143,0,0.19274376,0.29411766,0.39277554,0.34133565,9.544596,7.798523,11.304831,0,8.663024,10.41951,0.32452342,0,6.9226437,6.075346,1.638121,40,7.8252454,6.289716,9.425049,0,3.8921916,-0.453125,0.43937945,0,1.8360074,5.209486,4.751548,1954.6141
"2,5-dibromo-3,4-dinitrothiophene",O=[N+](C1=C(Br)SC(Br)=C1[N+]([O-])=O)[O-],0.7465,0,0,0.36681223,0.21490596,0.102347925,0,0.057785284,0.07071657,0.06,1.2070965,0,0,0.03591913,3.8407955,2,0.7921245,0.10891813,0,0.62910885,350.39777,0.71712184,0,1.1578947,0,0.2754637,0.2724473,0.2724804,0.24770713,0.2727329,0.27290058,0.27293226,0.2728689,0.27292246,0.084495835,0.55655736,0.60414624,0.2700807,0.042534515,0.26694632,0,0.23890088,0,5.90257,-16.505344,0,0.5250461,0,4.123094,0,0.67523843,0,-124.472496,0,-0.38552964,0,0.3846154,-0.86870235,0.45748192,0,1.3680793,0,0,0,0,0,0,0.8842186,0.8804734,0.21858104,0.37721545,0.16840611,-0.5415591,4,0,0,1.3076923,0,1.3889576,0.9230769,0,0.15384616,0.6923077,0.584249,5.7584724,0,0.15384616,0.7399941,0.5289291,9.484253,7.7030077,11.267319,0,8.582419,10.368573,0.42951965,0,6.7968235,5.926926,1.4318055,8,7.7693787,6.154858,9.4364395,0,7.3194566,0.07692308,0.85770094,0,1.506606,5.0172796,4.2336473,0
"1,4-Dimethoxybenzene",COC1=CC=C(OC)C=C1,0.2969,0,0,0.21428572,0.46919847,0.005,0,-0.00125304,0.007654,0.0637037,-0.3312277,0,0,0.005051026,0,0,0.658604,0.022727273,0,-0.25173846,155.76503,0.62924737,5.822222,0.8576389,0,0.31420004,0.31009078,0.31009609,0.296301,0.30955985,0.31035778,0.31015924,0.31008524,0.31075224,0.091962785,0.03508772,1.5243083,0.30652755,0.013651026,0.30433193,0,0.2969276,0,10.706418,-1.3669444,0,0.057521194,0,3.6408703,0,0.022680461,-37.26,-7.8366666,2,-0.53046143,-295.78958,0.3,-0.044094983,0.48637033,9.9162245,1.5089289,-180.64476,0,12,0.25,-64.37,0.25,1.6173736,1.7825,0.18944272,0.027777778,0.2229305,-0.2695808,0,0,0,1.3,0,1.1361274,0.45,0,0.1,0.7,0.31489742,0,0.040816326,0.2,1.5479167,0.30086115,8.532475,6.944087,10.122021,0,7.737616,9.326967,1.333908,0,6.150603,5.3612924,1.0862057,6,7.158514,5.652489,8.703009,0,1.2445643,0.1,1.4919161,0,1.1129488,4.574711,3.5527444,72.642525
5-Bromoisatin,O=C1NC2=C(C=C(Br)C=C2)C1=O,0.9358,0,0,0.390625,0.30787557,-0.016211007,0,-0.010011481,-0.01432353,0.056833334,0.093078434,0,0,0.019389417,5.315666,0,1,0.078022875,1,0.06206657,214.3992,0.8969753,-15.971235,1.0212766,0,0.288278,0.28645444,0.286433,0.26872233,0.28497022,0.2851646,0.28527892,0.2853073,0.28500473,0.077272415,-0.100514136,1.0438405,0.28507754,0.03372275,0.28478608,0,0.2793128,10.357988,-4.1752048,20.756998,0,-0.09629264,0,5.2718773,0,0.13582736,0,-8.220936,0,-0.36594275,0,0.5625,0.6486562,0.47346172,0,0.9643759,0,1,0,0,0,0,0.5776608,-0.5732504,0.19414893,0.08565617,0.18230957,-0.23440672,24,0,7,1.4166666,0,1.2338698,0.734375,0,0.041666668,0.7916667,0.46875,3.2209969,0,0,0.53766626,0.42045718,9.47232,7.6939373,11.252586,0,8.580168,10.360881,0.5795762,0,6.801283,5.9215784,1.3531516,28,7.7861366,6.1675167,9.450695,0,5.0624285,0.16666667,0.53370684,0,1.4112113,5.030438,4.0634093,0
2-Pheylphenol,OC1=CC=CC=C1C2=CC=CC=C2,0.8798,0,0,0.23684211,0.5041925,-0.008561752,1,-0.004755279,-0.00823446,0.025641026,0.171941,0,0,0.002861805,5.7681255,0,0.8499678,0.04779412,0,0.12584974,182.93584,0.7835679,-3.3201008,1.3149225,0,0.27493882,0.2743823,0.27438286,0.25925022,0.2743203,0.27440915,0.27438945,0.2743817,0.27403462,0.08729065,-0.1140848,1.4347354,0.2736576,0.016092574,0.27260408,0,0.31761,0,-8.428525,0.7214871,0,-0.11005298,0,5.527816,0,0.042348996,30.27032,-0.489603,0,-0.316282,68.81111,0.5217391,0.015030981,0.49053925,0,0.6170275,145.37357,10,9,0,14.107751,0,0.597731,-0.4794518,0.17292923,0.059852794,0.19274582,-0.061715823,20,0,14,1.5192307,0,1.1834501,0.48771265,0,0.03846154,0.96153843,0.2672297,0,0.118367344,0.071428575,0.63900197,0.2463536,9.189014,7.503841,10.876405,0,8.343554,10.030252,0.6387441,0,6.660575,5.826,1.4773521,23,7.6690283,6.0935698,9.288135,0,3.3982594,0.40384614,0.6757645,0,1.5275788,4.9904327,4.2455044,29.294497
Mandelic acid,OC(C(O)=O)C1=CC=CC=C1,0.8476,0,0,0.3,0.3395387,-0.034903046,0,-0.02222462,-0.032148477,0.039012346,0.24356437,0,0,0.018090865,3.8407955,0,0.9410872,0.052884616,0,0.18192719,152.02556,0.8837439,-18.322252,0.9916549,0,0.29832393,0.2980676,0.29806897,0.28136367,0.29792145,0.29813495,0.29808524,0.29806614,0.2976067,0.09598277,-0.17918089,1.2744151,0.29669443,0.025909046,0.2952005,0,0.28018877,11.667418,-9.780367,26.497076,0,-0.18204063,0,4.123094,0,0.018518519,10.307479,-11.95968,0,-0.327477,7.0982084,0.31578946,0.6972915,0.47411036,0,0.8049201,48.99779,0,1,0.125,0.84487534,0.125,0.5799525,-1.22518,0.1939216,0.032075014,0.21531042,-0.11493308,4,0,0,1.25,0,1.0848185,0.5595568,0,0,0.6818182,0.34636995,0,0.08,0.18181819,0.5827792,0.32526457,8.752265,7.1316986,10.374334,0,7.9384456,9.560363,0.6157724,0,6.3189683,5.5174527,1.2250983,8,7.341484,5.8141303,8.906936,0,2.3125618,0.11363637,0.5938839,0,1.273105,4.7095304,3.7714722,1.016064
